ts,DE_load_actual_entsoe_transparency,DE_wind_generation_actual,DE_wind_onshore_generation_actual,DE_wind_offshore_generation_actual,DE_solar_generation_actual,DE_price_day_ahead,DE_renew_generation_actual,DE_residual_load,DE_renew_share,hour,dayofweek,month,is_weekend,load_lag_24h,price_lag_24h,load_diff_24h,price_diff_24h,price_diff_1h
2015-01-01,47704.0,15280.882352941177,14771.0,509.8235294117647,1005.7647058823529,43.294117647058826,16286.64705882353,31417.352941176472,0.34182255939458484,15.0,3,1,0,41133.0,36.0,12998.0,0.0,-0.9411764705882353
2015-01-02,51941.166666666664,25148.083333333332,24709.25,438.875,323.2083333333333,30.791666666666668,25471.291666666668,26469.875,0.5013349746490204,11.5,4,1,0,45787.458333333336,41.166666666666664,9497.833333333334,-1.375,-0.375
2015-01-03,46564.75,19289.791666666668,18784.541666666668,505.2083333333333,301.5416666666667,19.5,19591.333333333332,26973.416666666668,0.4344266267756955,11.5,5,1,1,51941.166666666664,30.791666666666668,-5376.416666666667,-11.291666666666666,0.3333333333333333
2015-01-04,45082.5,16042.625,15563.541666666666,479.1666666666667,832.5833333333334,13.75,16875.208333333332,28207.291666666668,0.38502763621621533,11.5,6,1,1,46564.75,19.5,-1482.25,-5.75,0.20833333333333334
2015-01-05,55246.666666666664,9022.5,8711.916666666666,310.5833333333333,1105.0833333333333,38.791666666666664,10127.583333333334,45119.083333333336,0.19101948136413238,11.5,0,1,0,45082.5,13.75,10164.166666666666,25.041666666666668,0.5
2015-01-06,55496.5,4884.458333333333,4584.875,299.5833333333333,1370.3333333333333,37.916666666666664,6254.791666666667,49241.708333333336,0.10817415815502245,11.5,1,1,0,55246.666666666664,38.791666666666664,249.83333333333334,-0.875,-0.125
2015-01-07,60113.0,9466.833333333334,9019.041666666666,447.75,713.0833333333334,38.291666666666664,10179.916666666666,49933.083333333336,0.17329220825645267,11.5,2,1,0,55496.5,37.916666666666664,4616.5,0.375,-0.2916666666666667
2015-01-08,61432.291666666664,18346.583333333332,17833.125,513.3333333333334,358.2916666666667,26.416666666666668,18704.875,42727.416666666664,0.31106847601911036,11.5,3,1,0,60113.0,38.291666666666664,1319.2916666666667,-11.875,-0.4166666666666667
2015-01-09,60808.708333333336,26738.708333333332,26374.416666666668,364.3333333333333,284.25,18.041666666666668,27022.958333333332,33785.75,0.4474538406986874,11.5,4,1,0,61432.291666666664,26.416666666666668,-623.5833333333334,-8.375,0.125
2015-01-10,51784.041666666664,26444.875,26180.166666666668,264.5416666666667,853.0416666666666,8.083333333333334,27297.916666666668,24486.125,0.5268704078967369,11.5,5,1,1,60808.708333333336,18.041666666666668,-9024.666666666666,-9.958333333333334,-0.875
2015-01-11,48456.5,26265.75,25860.166666666668,405.5833333333333,825.4583333333334,-0.9166666666666666,27091.208333333332,21365.291666666668,0.562860169723074,11.5,6,1,1,51784.041666666664,8.083333333333334,-3327.5416666666665,-9.0,-0.041666666666666664
2015-01-12,61913.625,26326.333333333332,25844.583333333332,481.75,459.375,19.041666666666668,26785.708333333332,35127.916666666664,0.4388664765004693,11.5,0,1,0,48456.5,-0.9166666666666666,13457.125,19.958333333333332,1.0
2015-01-13,60950.166666666664,21322.208333333332,20956.541666666668,365.5,2095.125,27.916666666666668,23417.333333333332,37532.833333333336,0.3851021149183181,11.5,1,1,0,61913.625,19.041666666666668,-963.4583333333334,8.875,0.16666666666666666
2015-01-14,60946.458333333336,16957.583333333332,16570.041666666668,387.5,754.4166666666666,30.083333333333332,17712.0,43234.458333333336,0.2930243006674218,11.5,2,1,0,60950.166666666664,27.916666666666668,-3.7083333333333335,2.1666666666666665,0.08333333333333333
2015-01-15,61635.208333333336,23186.291666666668,22681.375,505.0416666666667,714.7916666666666,25.041666666666668,23901.083333333332,37734.125,0.3869794158685092,11.5,3,1,0,60946.458333333336,30.083333333333332,688.75,-5.041666666666667,-0.375
2015-01-16,59642.25,10388.458333333334,9952.833333333334,435.7083333333333,950.75,35.416666666666664,11339.208333333334,48303.041666666664,0.20021497603929742,11.5,4,1,0,61635.208333333336,25.041666666666668,-1992.9583333333333,10.375,0.6666666666666666
2015-01-17,51133.75,5738.208333333333,5258.291666666667,479.875,891.875,31.75,6630.083333333333,44503.666666666664,0.12928804741246064,11.5,5,1,1,59642.25,35.416666666666664,-8508.5,-3.6666666666666665,-0.2916666666666667
2015-01-18,47487.291666666664,5300.625,5099.75,200.83333333333334,1302.4583333333333,27.083333333333332,6603.083333333333,40884.208333333336,0.14240302863434803,11.5,6,1,1,51133.75,31.75,-3646.4583333333335,-4.666666666666667,0.125
2015-01-19,60720.791666666664,1317.5,1296.7916666666667,20.791666666666668,986.7083333333334,41.958333333333336,2304.2083333333335,58416.583333333336,0.03753284448952491,11.5,0,1,0,47487.291666666664,27.083333333333332,13233.5,14.875,0.2916666666666667
2015-01-20,62052.208333333336,697.4166666666666,642.1666666666666,55.291666666666664,449.625,45.455000000000005,1147.0416666666667,60905.166666666664,0.018497525488653875,11.5,1,1,0,60720.791666666664,41.958333333333336,1331.4166666666667,3.4966666666666666,0.03833333333333341
2015-01-21,61946.125,2099.5833333333335,2002.125,97.45833333333333,921.6666666666666,32.18,3021.25,58924.875,0.04741632344637144,11.5,2,1,0,62052.208333333336,45.455000000000005,-106.08333333333333,-13.274999999999999,-0.08000000000000007
2015-01-22,62371.041666666664,2595.625,2546.25,49.333333333333336,504.9583333333333,44.788333333333334,3100.5833333333335,59270.458333333336,0.05045193790939775,11.5,3,1,0,61946.125,32.18,424.9166666666667,12.608333333333333,0.08000000000000007
2015-01-23,61289.041666666664,1607.9166666666667,1404.6666666666667,203.20833333333334,292.2916666666667,32.18,1900.2083333333333,59388.833333333336,0.03209512328098459,11.5,4,1,0,62371.041666666664,44.788333333333334,-1082.0,-12.608333333333333,-0.08000000000000007
2015-01-24,53379.666666666664,6541.458333333333,6046.416666666667,494.9166666666667,409.75,31.458333333333332,6951.208333333333,46428.458333333336,0.13141334419189332,11.5,5,1,1,61289.041666666664,32.18,-7909.375,-0.7216666666666685,-0.2916666666666667
2015-01-25,48534.25,4654.541666666667,4303.666666666667,350.8333333333333,482.0833333333333,28.5,5136.625,43397.625,0.11030376307935041,11.5,6,1,1,53379.666666666664,31.458333333333332,-4845.416666666667,-2.9583333333333335,0.16666666666666666
2015-01-26,61786.25,9649.666666666666,9040.041666666666,609.625,441.5,35.333333333333336,10091.166666666666,51695.083333333336,0.16103138169394782,11.5,0,1,0,48534.25,28.5,13252.0,6.833333333333333,-0.3333333333333333
2015-01-27,62015.625,11192.916666666666,10735.791666666666,457.2083333333333,732.2083333333334,34.333333333333336,11925.125,50090.5,0.19675647512003594,11.5,1,1,0,61786.25,35.333333333333336,229.375,-1.0,0.3333333333333333
2015-01-28,63308.958333333336,18404.125,17827.541666666668,576.5,690.875,27.333333333333332,19095.0,44213.958333333336,0.2935268758118198,11.5,2,1,0,62015.625,34.333333333333336,1293.3333333333333,-7.0,-0.7083333333333334
